ano,id_municipio,id_municipio_nome,sigla_uf,sigla_uf_nome,populacao_atendida_agua,populacao_urbana_residente_esgoto,extensao_rede_esgoto,volume_agua_tratada_eta,volume_agua_tratada_importado,quantidade_empregado,despesa_agua_importada,despesa_fiscal_nao_computada,despesa_divida_variacao,investimento_agua_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,natureza_juridica
2019,1200393,Porto Walter,AC,Acre,4530,,,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,Autarquia | Administração pública direta
2017,1200435,Santa Rosa do Purus,AC,Acre,3489,,,338.46,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,Autarquia | Administração pública direta
2017,1400027,Amajari,RR,Roraima,2710,,,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,Sociedade de economia mista com administração pública | Administração pública direta
2017,1400282,Iracema,RR,Roraima,6560,,,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
2016,1302702,ManicorÃ©,AM,Amazonas,28500,,,560.7,213.11,26,0.0,81030.0,0.0,,,,Administração pública direta | Administração pública direta
2013,1400407,Normandia,RR,Roraima,3092,,,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,Sociedade de economia mista com administração pública | Administração pública direta
2009,1200138,Bujari,AC,Acre,3143,,,630.72,0.0,21,0.0,0.0,0.0,35836.06,17901.2,966.65,Autarquia | Administração pública direta
2009,1200179,Capixaba,AC,Acre,2842,,,620.51,0.0,14,0.0,0.0,0.0,36831.66,11619.62,609.49,Autarquia | Administração pública direta
2008,1200179,Capixaba,AC,Acre,2660,,,466.56,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,Autarquia | Administração pública direta
2005,1400175,CantÃ¡,RR,Roraima,6971,,,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,Sociedade de economia mista com administração pública | Administração pública direta
2003,1400506,SÃ£o JoÃ£o da Baliza,RR,Roraima,4062,,,159.3,0.0,7,0.0,0.0,0.0,999.0,0.0,0.0,Sociedade de economia mista com administração pública | Administração pública direta
1998,1400159,Bonfim,RR,Roraima,1620,700,0.0,,,4,,,,39000.0,,,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
1998,1400308,MucajaÃ­,RR,Roraima,6419,5181,0.0,967.68,,9,,,,40000.0,,,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
1998,1302603,Manaus,AM,Amazonas,1249835,1216783,257.0,85157.0,,965,,,,32344828.0,,,Empresa privada | Administração pública direta
1997,1400100,Boa Vista,RR,Roraima,152438,144398,130.27,10711.65,,242,,,,776804.58,,,Sociedade de economia mista com administração pública | Administração pública direta
